time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,precipitation,wind_speed_10m,wind_direction_10m
2025-06-19 00:00:00,19.50,77,20.60,,0.00,4.20,211
2025-06-19 01:00:00,19.00,80,20.20,,0.00,4.40,215
2025-06-19 02:00:00,18.70,81,19.70,,0.00,5.20,214
2025-06-19 03:00:00,18.30,85,19.50,,0.00,5.10,225
2025-06-19 04:00:00,17.80,87,19.00,,0.00,4.80,228
2025-06-19 05:00:00,17.50,88,18.70,,0.00,4.30,228
2025-06-19 06:00:00,18.10,87,19.50,,0.00,3.60,225
2025-06-19 07:00:00,19.70,83,21.40,,0.00,4.30,228
2025-06-19 08:00:00,21.10,79,22.90,,0.00,5.60,230
2025-06-19 09:00:00,23.20,71,24.90,,0.00,6.60,229
2025-06-19 10:00:00,24.40,68,26.30,,0.00,7.10,225
2025-06-19 11:00:00,26.10,61,28.50,,0.00,9.20,222
2025-06-19 12:00:00,27.40,50,29.20,,0.00,11.50,229
2025-06-19 13:00:00,27.90,48,28.70,,0.00,12.60,233
2025-06-19 14:00:00,28.70,45,29.80,,0.00,13.30,229
2025-06-19 15:00:00,28.70,45,30.00,,0.00,12.30,232
2025-06-19 16:00:00,28.50,45,28.80,,0.00,12.90,234
2025-06-19 17:00:00,27.90,45,27.90,,0.00,11.00,229
2025-06-19 18:00:00,27.60,49,28.00,,0.00,11.00,221
2025-06-19 19:00:00,26.80,53,27.70,,0.00,9.30,216
2025-06-19 20:00:00,25.20,61,26.70,,0.00,6.80,205
2025-06-19 21:00:00,23.50,65,24.90,,0.00,6.40,207
2025-06-19 22:00:00,22.40,69,23.60,,0.00,6.70,196
2025-06-19 23:00:00,21.80,71,22.90,,0.00,7.00,192
2025-06-20 00:00:00,21.10,72,22.00,,0.00,8.00,188
2025-06-20 01:00:00,20.30,77,21.20,,0.00,8.70,185
2025-06-20 02:00:00,19.90,79,20.60,,0.00,9.10,187
2025-06-20 03:00:00,19.30,80,19.90,,0.00,9.00,182
2025-06-20 04:00:00,19.00,79,19.40,,0.00,9.40,180
2025-06-20 05:00:00,19.00,79,19.20,,0.00,10.40,178
2025-06-20 06:00:00,19.70,79,20.20,,0.00,10.40,182
2025-06-20 07:00:00,20.80,77,21.40,,0.00,11.50,182
2025-06-20 08:00:00,21.50,77,22.30,,0.00,12.80,202
2025-06-20 09:00:00,21.20,78,21.60,,0.30,14.80,221
2025-06-20 10:00:00,20.30,88,20.80,,1.60,17.00,253
2025-06-20 11:00:00,18.60,78,16.80,,0.80,22.60,301
2025-06-20 12:00:00,16.20,83,14.60,,0.50,18.20,295
2025-06-20 13:00:00,17.20,75,15.00,,0.00,20.70,309
2025-06-20 14:00:00,17.00,66,14.00,,0.00,21.40,316
2025-06-20 15:00:00,17.40,64,14.80,,0.00,18.30,315
2025-06-20 16:00:00,18.70,56,16.40,,0.00,17.10,312
2025-06-20 17:00:00,18.80,54,15.80,,0.00,18.70,308
2025-06-20 18:00:00,18.70,53,15.80,,0.00,17.80,318
2025-06-20 19:00:00,18.30,57,16.00,,0.00,14.60,320
2025-06-20 20:00:00,17.60,63,16.10,,0.00,11.20,318
2025-06-20 21:00:00,16.40,68,15.40,,0.00,8.00,306
2025-06-20 22:00:00,15.10,75,14.20,,0.00,7.20,288
2025-06-20 23:00:00,14.60,78,13.70,,0.00,7.30,279
2025-06-21 00:00:00,14.20,80,13.40,,0.00,7.20,273
2025-06-21 01:00:00,13.90,80,12.80,,0.00,8.10,283
2025-06-21 02:00:00,13.60,80,12.50,,0.00,8.00,288
2025-06-21 03:00:00,13.30,82,12.40,,0.00,7.30,290
2025-06-21 04:00:00,12.90,83,11.90,,0.00,7.20,288
2025-06-21 05:00:00,12.70,85,11.70,,0.00,7.80,283
2025-06-21 06:00:00,13.70,84,12.90,,0.00,7.30,290
2025-06-21 07:00:00,15.20,80,14.60,,0.00,8.20,293
2025-06-21 08:00:00,17.00,75,16.50,,0.00,8.90,297
2025-06-21 09:00:00,19.00,67,18.70,,0.00,7.90,300
2025-06-21 10:00:00,20.60,64,20.60,,0.00,9.60,283
2025-06-21 11:00:00,21.80,56,21.60,,0.00,12.80,286
2025-06-21 12:00:00,22.20,54,21.80,,0.00,15.00,291
2025-06-21 13:00:00,23.00,50,22.80,,0.00,15.50,292
2025-06-21 14:00:00,23.50,47,23.10,,0.00,15.10,295
2025-06-21 15:00:00,23.70,45,23.10,,0.00,14.70,298
2025-06-21 16:00:00,24.00,42,22.50,,0.00,14.80,299
2025-06-21 17:00:00,23.30,43,21.30,,0.00,13.80,298
2025-06-21 18:00:00,22.90,46,21.10,,0.00,13.50,299
2025-06-21 19:00:00,22.40,48,21.20,,0.00,9.80,298
2025-06-21 20:00:00,21.20,55,20.80,,0.00,6.50,289
2025-06-21 21:00:00,19.60,62,19.60,,0.00,4.30,275
2025-06-21 22:00:00,18.20,67,18.20,,0.00,4.30,270
2025-06-21 23:00:00,17.30,69,17.10,,0.00,4.70,279
2025-06-22 00:00:00,16.30,74,16.20,,0.00,4.00,280
2025-06-22 01:00:00,15.90,74,15.60,,0.00,4.10,285
2025-06-22 02:00:00,15.50,75,15.20,,0.00,3.90,292
2025-06-22 03:00:00,14.80,78,14.60,,0.00,3.80,311
2025-06-22 04:00:00,14.50,79,14.20,,0.00,3.60,307
2025-06-22 05:00:00,14.10,79,13.90,,0.00,2.90,300
2025-06-22 06:00:00,14.80,79,14.80,,0.00,2.30,321
2025-06-22 07:00:00,16.70,78,17.20,,0.00,2.30,321
2025-06-22 08:00:00,18.40,73,19.00,,0.00,3.60,315
2025-06-22 09:00:00,21.00,63,21.70,,0.00,3.50,294
2025-06-22 10:00:00,22.60,56,23.60,,0.00,4.50,284
2025-06-22 11:00:00,23.80,50,25.00,,0.00,6.20,280
2025-06-22 12:00:00,24.30,48,25.50,,0.00,7.60,275
2025-06-22 13:00:00,25.00,46,26.20,,0.00,8.00,280
2025-06-22 14:00:00,25.50,44,26.60,,0.00,7.70,281
2025-06-22 15:00:00,25.70,42,26.40,,0.00,7.20,288
2025-06-22 16:00:00,25.80,43,26.00,,0.00,7.20,288
2025-06-22 17:00:00,25.60,44,25.30,,0.00,7.00,291
2025-06-22 18:00:00,24.80,48,24.80,,0.00,6.60,299
2025-06-22 19:00:00,24.30,52,24.70,,0.00,5.30,298
2025-06-22 20:00:00,23.00,61,24.20,,0.00,2.90,277
2025-06-22 21:00:00,21.80,65,23.00,,0.00,2.60,254
2025-06-22 22:00:00,20.80,67,21.60,,0.00,4.30,246
2025-06-22 23:00:00,20.40,70,21.60,,0.10,2.10,239
2025-06-23 00:00:00,20.00,72,21.40,,0.00,0.80,243
2025-06-23 01:00:00,19.30,73,20.40,,0.00,2.20,180
2025-06-23 02:00:00,18.80,75,19.80,,0.00,2.20,180
2025-06-23 03:00:00,18.80,78,20.00,,0.00,2.90,180
2025-06-23 04:00:00,18.70,77,19.80,,0.00,2.90,187
2025-06-23 05:00:00,18.80,77,19.80,,0.00,3.10,144
2025-06-23 06:00:00,18.70,80,19.90,,0.00,3.60,174
2025-06-23 07:00:00,19.80,79,21.20,,0.00,4.30,185
2025-06-23 08:00:00,21.00,76,22.40,,0.00,6.50,183
2025-06-23 09:00:00,21.80,71,22.90,,0.00,7.10,195
2025-06-23 10:00:00,22.90,70,24.40,,0.00,7.40,194
2025-06-23 11:00:00,24.50,67,26.50,,0.00,8.40,211
2025-06-23 12:00:00,26.20,58,28.60,,0.00,7.90,219
2025-06-23 13:00:00,26.70,55,28.00,,0.00,13.30,251
2025-06-23 14:00:00,25.70,62,26.80,,0.10,12.00,261
2025-06-23 15:00:00,25.50,65,27.00,,0.10,10.50,262
2025-06-23 16:00:00,24.30,70,25.70,,0.30,12.10,258
2025-06-23 17:00:00,21.40,88,23.50,,1.50,9.80,262
2025-06-23 18:00:00,20.60,92,22.70,,1.60,9.40,288
2025-06-23 19:00:00,19.50,80,20.50,,0.50,6.90,276
2025-06-23 20:00:00,18.90,84,20.00,,0.00,7.20,252
2025-06-23 21:00:00,18.90,90,20.50,,0.00,7.10,255
2025-06-23 22:00:00,18.50,94,20.00,,0.00,8.30,265
2025-06-23 23:00:00,18.50,95,20.00,,0.00,8.60,270
2025-06-24 00:00:00,18.40,93,19.60,,0.00,8.80,279
2025-06-24 01:00:00,17.90,92,19.00,,0.00,8.20,293
2025-06-24 02:00:00,17.40,87,17.90,,0.00,8.10,302
2025-06-24 03:00:00,16.50,87,16.90,,0.00,6.80,302
2025-06-24 04:00:00,15.70,88,15.90,,0.00,6.80,295
2025-06-24 05:00:00,15.10,90,15.10,,0.00,7.20,288
2025-06-24 06:00:00,15.40,90,15.60,,0.00,7.30,290
2025-06-24 07:00:00,16.60,87,16.80,,0.00,8.20,293
2025-06-24 08:00:00,17.90,83,18.30,,0.00,8.10,302
2025-06-24 09:00:00,19.20,78,19.70,,0.00,8.80,305
2025-06-24 10:00:00,19.80,73,19.70,,0.00,11.30,307
2025-06-24 11:00:00,19.90,71,19.60,,0.00,11.70,304
2025-06-24 12:00:00,20.40,67,19.80,,0.00,13.20,305
2025-06-24 13:00:00,21.30,65,20.90,,0.00,12.60,301
2025-06-24 14:00:00,22.10,63,22.20,,0.00,12.50,303
2025-06-24 15:00:00,22.70,61,22.80,,0.00,13.20,313
2025-06-24 16:00:00,21.40,67,21.60,,0.40,10.50,322
2025-06-24 17:00:00,20.60,74,20.90,,0.20,11.30,323
2025-06-24 18:00:00,20.20,77,20.40,,0.10,12.70,325
2025-06-24 19:00:00,19.50,76,19.50,,0.50,11.60,324
2025-06-24 20:00:00,18.30,83,18.90,,0.30,8.40,329
2025-06-24 21:00:00,17.50,90,18.50,,0.90,6.30,336
2025-06-24 22:00:00,17.00,94,18.00,,0.00,6.90,351
2025-06-24 23:00:00,16.80,89,17.60,,0.00,5.40,360
2025-06-25 00:00:00,16.00,87,16.50,,0.00,5.40,360
2025-06-25 01:00:00,15.70,88,16.20,,0.00,4.70,360
2025-06-25 02:00:00,15.40,88,15.80,,0.00,4.80,333
2025-06-25 03:00:00,15.00,90,15.30,,0.00,5.30,332
2025-06-25 04:00:00,15.10,92,15.70,,0.00,4.50,331
2025-06-25 05:00:00,15.00,92,15.30,,0.00,5.80,330
2025-06-25 06:00:00,15.40,91,15.70,,0.00,6.30,329
2025-06-25 07:00:00,16.50,89,17.00,,0.00,7.10,330
2025-06-25 08:00:00,18.00,84,18.60,,0.00,7.90,336
2025-06-25 09:00:00,19.40,76,19.80,,0.00,9.20,339
2025-06-25 10:00:00,20.60,70,21.20,,0.00,9.80,343
2025-06-25 11:00:00,21.30,63,21.80,,0.10,10.20,352
2025-06-25 12:00:00,21.70,58,22.10,,0.00,10.50,356
2025-06-25 13:00:00,21.90,57,21.70,,0.00,11.90,357
2025-06-25 14:00:00,22.40,55,22.40,,0.00,11.90,357
2025-06-25 15:00:00,23.00,48,21.60,,0.00,13.40,6
2025-06-25 16:00:00,23.30,45,21.50,,0.00,14.50,7
2025-06-25 17:00:00,23.10,43,20.80,,0.00,15.30,8
2025-06-25 18:00:00,22.40,39,19.70,,0.00,14.20,9
2025-06-25 19:00:00,21.60,34,18.70,,0.00,12.00,16
2025-06-25 20:00:00,20.20,40,18.30,,0.00,6.30,13
2025-06-25 21:00:00,18.80,55,18.30,,0.00,2.60,344
2025-06-25 22:00:00,17.80,57,17.20,,0.00,2.80,320
2025-06-25 23:00:00,17.20,58,16.40,,0.00,3.30,319
2025-06-26 00:00:00,16.00,66,15.40,,0.00,3.60,323
2025-06-26 01:00:00,15.60,68,15.00,,0.00,3.80,319
2025-06-26 02:00:00,15.20,71,14.60,,0.00,4.10,315
2025-06-26 03:00:00,14.30,76,13.80,,0.00,4.10,315
2025-06-26 04:00:00,14.00,79,13.40,,0.00,4.80,312
2025-06-26 05:00:00,13.70,81,13.20,,0.00,4.70,302
2025-06-26 06:00:00,14.40,80,14.00,,0.00,4.70,302
2025-06-26 07:00:00,16.20,78,16.00,,0.00,6.70,306
2025-06-26 08:00:00,18.20,73,18.00,,0.00,8.00,306
2025-06-26 09:00:00,20.70,61,20.30,,0.00,9.40,302
2025-06-26 10:00:00,22.50,55,22.00,,0.00,12.00,309
2025-06-26 11:00:00,23.30,51,22.70,,0.00,12.30,328
2025-06-26 12:00:00,24.10,44,22.40,,0.00,13.90,335
2025-06-26 13:00:00,24.30,45,22.90,,0.00,12.90,333
2025-06-26 14:00:00,24.60,44,23.30,,0.00,11.60,324
2025-06-26 15:00:00,25.70,41,24.00,,0.00,14.50,333
2025-06-26 16:00:00,25.30,43,23.90,,0.00,13.20,338
2025-06-26 17:00:00,25.60,42,24.30,,0.00,12.80,338
2025-06-26 18:00:00,25.40,46,24.60,,0.00,11.50,340
2025-06-26 19:00:00,24.80,47,24.20,,0.00,9.80,343
2025-06-26 20:00:00,23.40,53,23.60,,0.00,6.00,343
2025-06-26 21:00:00,22.00,61,22.80,,0.00,3.40,342
2025-06-26 22:00:00,20.80,64,21.50,,0.00,3.10,324
2025-06-26 23:00:00,20.10,65,20.80,,0.00,2.50,315
2025-06-27 00:00:00,19.30,70,20.20,,0.00,2.40,333
2025-06-27 01:00:00,18.80,71,19.50,,0.00,2.30,321
2025-06-27 02:00:00,18.40,74,19.50,,0.00,0.80,27
2025-06-27 03:00:00,18.00,77,18.90,,0.00,1.80,349
2025-06-27 04:00:00,17.30,79,18.10,,0.00,2.30,18
2025-06-27 05:00:00,16.80,83,17.60,,0.00,2.50,82
2025-06-27 06:00:00,17.20,83,18.30,,0.00,1.50,45
2025-06-27 07:00:00,18.90,83,20.50,,0.00,2.70,67
2025-06-27 08:00:00,20.40,76,21.70,,0.00,5.10,82
2025-06-27 09:00:00,22.10,66,23.10,,0.00,5.70,72
2025-06-27 10:00:00,23.30,63,24.80,,0.00,6.60,45
2025-06-27 11:00:00,24.30,59,25.80,,0.00,8.90,32
2025-06-27 12:00:00,25.00,54,26.40,,0.00,8.90,21
2025-06-27 13:00:00,25.80,49,26.70,,0.00,10.60,18
2025-06-27 14:00:00,26.40,45,27.10,,0.00,11.00,23
2025-06-27 15:00:00,26.80,43,27.10,,0.00,11.70,34
2025-06-27 16:00:00,26.80,41,26.70,,0.00,10.30,36
2025-06-27 17:00:00,26.60,40,25.90,,0.00,9.50,37
2025-06-27 18:00:00,26.20,40,25.60,,0.00,7.70,41
2025-06-27 19:00:00,25.50,42,25.10,,0.00,6.20,36
2025-06-27 20:00:00,23.90,52,24.50,,0.00,3.40,32
2025-06-27 21:00:00,22.10,56,22.40,,0.00,4.00,27
2025-06-27 22:00:00,20.90,57,21.00,,0.00,3.40,18
2025-06-27 23:00:00,20.30,57,20.30,,0.00,3.60,37
2025-06-28 00:00:00,18.60,72,19.20,,0.00,3.60,53
2025-06-28 01:00:00,17.90,73,18.40,,0.00,2.80,50
2025-06-28 02:00:00,17.10,76,17.70,,0.00,2.30,51
2025-06-28 03:00:00,16.10,82,16.90,,0.00,1.50,76
2025-06-28 04:00:00,15.50,83,16.00,,0.00,2.10,31
2025-06-28 05:00:00,14.90,87,15.50,,0.00,1.50,14
2025-06-28 06:00:00,16.10,87,17.20,,0.00,1.10,252
2025-06-28 07:00:00,18.70,86,20.60,,0.00,1.40,360
2025-06-28 08:00:00,21.80,71,23.30,,0.00,4.70,4
2025-06-28 09:00:00,24.20,59,25.40,,0.00,5.20,16
2025-06-28 10:00:00,25.30,52,25.90,,0.00,8.00,36
2025-06-28 11:00:00,26.10,47,26.20,,0.00,9.70,45
2025-06-28 12:00:00,27.00,44,28.10,,0.00,7.80,34
2025-06-28 13:00:00,27.70,40,29.00,,0.00,7.30,33
2025-06-28 14:00:00,28.00,37,28.20,,0.00,7.60,31
2025-06-28 15:00:00,28.30,40,28.40,,0.00,7.50,35
2025-06-28 16:00:00,28.40,39,28.40,,0.00,6.20,36
2025-06-28 17:00:00,28.50,39,28.60,,0.00,6.20,36
2025-06-28 18:00:00,28.10,39,28.10,,0.00,6.20,36
2025-06-28 19:00:00,27.30,44,27.70,,0.00,5.40,37
2025-06-28 20:00:00,25.30,54,26.60,,0.00,3.30,49
2025-06-28 21:00:00,23.60,59,24.80,,0.00,3.10,45
2025-06-28 22:00:00,22.20,60,23.00,,0.00,3.20,27
2025-06-28 23:00:00,21.30,61,22.10,,0.00,2.30,18
2025-06-29 00:00:00,20.00,70,21.10,,0.00,1.60,27
2025-06-29 01:00:00,19.30,72,20.50,,0.00,1.10,342
2025-06-29 02:00:00,18.30,77,19.50,,0.00,1.30,34
2025-06-29 03:00:00,17.20,84,18.50,,0.00,1.10,72
2025-06-29 04:00:00,17.00,83,18.00,,0.00,1.60,117
2025-06-29 05:00:00,16.80,84,17.90,,0.00,1.80,143
2025-06-29 06:00:00,18.20,82,19.80,,0.00,0.80,153
2025-06-29 07:00:00,20.50,83,23.10,,0.00,0.50,135
2025-06-29 08:00:00,23.10,74,25.90,,0.00,1.30,214
2025-06-29 09:00:00,25.30,61,27.60,,0.00,1.90,202
2025-06-29 10:00:00,26.60,56,29.40,,0.00,1.80,217
2025-06-29 11:00:00,27.90,47,30.70,,0.00,1.60,207
2025-06-29 12:00:00,28.40,45,31.30,,0.00,1.80,217
2025-06-29 13:00:00,29.20,41,31.80,,0.00,2.40,243
2025-06-29 14:00:00,29.70,39,31.90,,0.00,2.60,254
2025-06-29 15:00:00,30.20,37,32.20,,0.00,2.60,214
2025-06-29 16:00:00,30.30,36,31.20,,0.00,3.20,243
2025-06-29 17:00:00,30.10,38,30.90,,0.00,4.00,275
2025-06-29 18:00:00,29.80,39,30.50,,0.00,5.10,274
2025-06-29 19:00:00,28.90,48,30.50,,0.00,5.00,240
