time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,precipitation,wind_speed_10m,wind_direction_10m
2025-06-02 00:00:00,14.50,67,13.60,0,0.00,2.70,293
2025-06-02 01:00:00,14.00,68,13.00,0,0.00,3.10,291
2025-06-02 02:00:00,13.20,71,12.20,0,0.00,2.70,293
2025-06-02 03:00:00,12.30,77,11.60,0,0.00,1.80,349
2025-06-02 04:00:00,11.90,79,11.20,0,0.00,1.80,11
2025-06-02 05:00:00,11.00,83,10.40,0,0.00,1.30,304
2025-06-02 06:00:00,11.60,85,11.20,0,0.00,1.10,360
2025-06-02 07:00:00,14.10,86,14.70,0,0.00,0.00,270
2025-06-02 08:00:00,17.00,73,17.20,0,0.00,2.50,172
2025-06-02 09:00:00,19.20,60,18.70,0,0.00,5.90,191
2025-06-02 10:00:00,20.60,54,20.30,0,0.00,7.60,225
2025-06-02 11:00:00,21.70,49,21.90,0,0.00,8.10,238
2025-06-02 12:00:00,22.80,45,23.30,0,0.00,8.00,252
2025-06-02 13:00:00,23.90,41,24.30,0,0.00,8.90,249
2025-06-02 14:00:00,24.70,39,24.80,0,0.00,9.70,243
2025-06-02 15:00:00,25.20,35,24.80,0,0.00,9.90,237
2025-06-02 16:00:00,25.30,34,24.10,0,0.00,11.00,238
2025-06-02 17:00:00,24.90,35,22.80,0,0.00,11.00,238
2025-06-02 18:00:00,24.50,38,23.10,0,0.00,8.30,236
2025-06-02 19:00:00,23.80,42,22.90,0,0.00,6.60,225
2025-06-02 20:00:00,22.00,53,21.90,0,0.00,4.30,204
2025-06-02 21:00:00,20.80,54,20.50,3,0.00,4.00,190
2025-06-02 22:00:00,20.10,56,19.70,3,0.00,4.40,189
2025-06-02 23:00:00,19.70,59,19.40,5,0.00,4.70,171
2025-06-03 00:00:00,18.90,63,18.50,5,0.00,5.90,191
2025-06-03 01:00:00,18.10,68,17.90,3,0.00,5.60,207
2025-06-03 02:00:00,17.90,72,17.90,3,0.00,5.40,233
2025-06-03 03:00:00,17.50,77,18.20,0,0.00,2.70,247
2025-06-03 04:00:00,17.00,79,17.70,0,0.00,2.60,236
2025-06-03 05:00:00,16.70,80,17.40,3,0.00,2.20,279
2025-06-03 06:00:00,17.30,82,18.30,0,0.00,2.00,315
2025-06-03 07:00:00,18.90,82,20.50,0,0.00,2.80,310
2025-06-03 08:00:00,20.70,79,22.90,0,0.00,1.50,284
2025-06-03 09:00:00,22.20,75,24.40,0,0.00,2.90,270
2025-06-03 10:00:00,23.70,66,25.40,0,0.00,4.70,261
2025-06-03 11:00:00,24.60,60,25.90,0,0.00,5.60,243
2025-06-03 12:00:00,25.70,56,27.40,0,0.00,7.20,233
2025-06-03 13:00:00,26.30,53,27.80,3,0.00,8.10,238
2025-06-03 14:00:00,26.70,50,27.40,13,0.00,9.30,242
2025-06-03 15:00:00,26.70,49,27.10,20,0.00,8.50,242
2025-06-03 16:00:00,26.20,51,26.60,30,0.00,9.20,244
2025-06-03 17:00:00,23.40,69,24.70,20,0.10,9.10,9
2025-06-03 18:00:00,23.10,72,25.10,25,0.00,5.50,67
