time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,precipitation,wind_speed_10m,wind_direction_10m
2025-06-19 00:00:00,15.90,85,15.80,35,0.10,7.60,262
2025-06-19 01:00:00,15.50,89,15.40,38,0.00,8.20,255
2025-06-19 02:00:00,15.10,89,14.80,28,0.10,8.90,256
2025-06-19 03:00:00,15.20,86,14.70,20,0.10,9.70,255
2025-06-19 04:00:00,14.70,88,14.10,5,0.00,9.40,263
2025-06-19 05:00:00,14.00,91,13.70,0,0.00,8.00,278
2025-06-19 06:00:00,14.20,90,13.80,0,0.00,8.40,277
2025-06-19 07:00:00,14.90,87,14.20,0,0.00,10.30,282
2025-06-19 08:00:00,15.30,84,14.30,5,0.00,12.20,298
2025-06-19 09:00:00,15.90,82,15.00,0,0.00,11.90,299
2025-06-19 10:00:00,16.90,75,15.60,0,0.00,14.30,295
2025-06-19 11:00:00,17.90,67,16.30,0,0.00,15.30,300
2025-06-19 12:00:00,18.50,64,16.90,0,0.00,15.60,296
2025-06-19 13:00:00,18.80,58,16.70,0,0.00,17.40,297
2025-06-19 14:00:00,18.70,54,16.00,0,0.00,17.10,298
2025-06-19 15:00:00,18.70,55,16.30,0,0.00,15.90,298
2025-06-19 16:00:00,18.70,54,16.30,3,0.00,15.00,300
2025-06-19 17:00:00,18.60,53,16.50,5,0.00,12.40,296
2025-06-19 18:00:00,18.20,52,15.80,15,0.00,13.30,283
2025-06-19 19:00:00,17.40,56,15.40,10,0.00,10.90,279
2025-06-19 20:00:00,16.60,60,14.80,8,0.00,10.10,276
2025-06-19 21:00:00,15.00,68,13.80,15,0.00,6.90,261
2025-06-19 22:00:00,13.70,75,12.50,18,0.00,7.20,252
2025-06-19 23:00:00,13.40,77,12.10,18,0.00,8.40,239
2025-06-20 00:00:00,12.70,84,11.50,10,0.00,8.80,251
2025-06-20 01:00:00,12.70,83,11.30,10,0.00,9.10,261
2025-06-20 02:00:00,12.10,89,10.70,8,0.00,10.10,268
2025-06-20 03:00:00,11.70,93,10.50,13,0.00,9.70,272
2025-06-20 04:00:00,11.80,91,9.90,10,0.00,13.60,287
2025-06-20 05:00:00,11.80,84,9.80,23,0.00,12.10,280
2025-06-20 06:00:00,11.70,82,9.30,18,0.00,13.80,276
2025-06-20 07:00:00,12.00,77,9.30,20,0.00,15.00,281
2025-06-20 08:00:00,12.70,74,9.80,43,0.00,16.80,280
2025-06-20 09:00:00,12.60,71,9.70,45,0.00,15.30,279
2025-06-20 10:00:00,12.60,73,9.40,50,0.10,17.70,297
2025-06-20 11:00:00,11.90,80,9.10,25,0.30,16.90,297
2025-06-20 12:00:00,14.60,65,11.80,10,0.00,15.80,305
2025-06-20 13:00:00,16.80,54,13.80,10,0.00,15.70,302
2025-06-20 14:00:00,16.70,51,13.50,18,0.00,16.10,297
2025-06-20 15:00:00,17.10,50,13.80,18,0.00,17.10,295
2025-06-20 16:00:00,17.00,52,13.60,23,0.00,17.60,293
2025-06-20 17:00:00,16.40,55,13.30,29,0.00,16.50,290
2025-06-20 18:00:00,16.10,58,13.60,33,0.00,12.80,286
2025-06-20 19:00:00,15.70,56,13.20,32,0.00,11.30,279
2025-06-20 20:00:00,14.60,63,12.70,29,0.00,9.10,279
2025-06-20 21:00:00,13.40,71,12.00,25,0.00,6.60,279
2025-06-20 22:00:00,12.40,77,11.20,21,0.00,5.60,285
2025-06-20 23:00:00,11.50,82,10.30,18,0.00,5.40,290
2025-06-21 00:00:00,10.80,86,9.60,15,0.00,5.00,300
2025-06-21 01:00:00,10.10,89,8.70,15,0.00,6.50,304
2025-06-21 02:00:00,9.60,94,8.30,15,0.00,6.30,301
2025-06-21 03:00:00,9.50,97,8.10,15,0.00,7.40,299
2025-06-21 04:00:00,9.60,98,8.30,13,0.00,7.90,300
2025-06-21 05:00:00,10.10,98,8.80,10,0.00,8.80,305
2025-06-21 06:00:00,11.20,92,9.50,8,0.00,11.20,318
2025-06-21 07:00:00,12.00,90,10.60,9,0.10,10.70,318
2025-06-21 08:00:00,12.40,90,11.10,11,0.60,11.00,328
2025-06-21 09:00:00,12.90,89,11.60,13,0.20,11.10,331
2025-06-21 10:00:00,13.60,85,12.20,12,0.00,11.80,333
2025-06-21 11:00:00,14.30,80,12.80,11,0.00,12.50,327
2025-06-21 12:00:00,14.50,79,12.90,10,0.00,12.40,324
2025-06-21 13:00:00,14.60,76,12.90,14,0.00,12.60,329
2025-06-21 14:00:00,14.90,75,13.20,14,0.00,12.50,327
2025-06-21 15:00:00,15.00,73,13.40,13,0.00,11.80,333
2025-06-21 16:00:00,15.40,71,13.60,11,0.00,12.90,333
2025-06-21 17:00:00,15.60,70,13.80,9,0.00,12.10,330
2025-06-21 18:00:00,15.40,71,14.00,7,0.00,10.00,334
2025-06-21 19:00:00,15.30,70,13.90,4,0.00,9.20,329
2025-06-21 20:00:00,15.10,72,14.00,2,0.00,7.40,321
2025-06-21 21:00:00,14.10,76,13.40,0,0.00,5.10,315
2025-06-21 22:00:00,13.40,78,12.60,0,0.00,4.60,309
2025-06-21 23:00:00,12.50,80,11.50,0,0.00,4.70,302
2025-06-22 00:00:00,11.70,81,10.60,0,0.00,4.50,299
2025-06-22 01:00:00,11.00,81,9.70,0,0.00,4.50,299
2025-06-22 02:00:00,10.30,81,8.90,0,0.00,4.80,297
2025-06-22 03:00:00,9.90,80,8.30,0,0.00,4.70,293
2025-06-22 04:00:00,9.50,80,7.90,1,0.00,4.60,288
2025-06-22 05:00:00,9.40,79,7.60,2,0.00,4.70,279
2025-06-22 06:00:00,10.00,78,8.30,3,0.00,5.00,270
2025-06-22 07:00:00,11.90,75,10.30,5,0.00,6.20,263
2025-06-22 08:00:00,14.50,70,13.20,6,0.00,7.70,259
2025-06-22 09:00:00,16.70,66,15.50,8,0.00,9.30,254
2025-06-22 10:00:00,18.00,62,16.60,10,0.00,10.80,249
2025-06-22 11:00:00,18.80,57,17.10,13,0.00,12.10,243
2025-06-22 12:00:00,19.30,56,17.50,16,0.00,12.90,243
2025-06-22 13:00:00,19.30,60,17.70,18,0.40,13.80,250
2025-06-22 14:00:00,19.00,66,17.60,21,0.40,14.60,260
2025-06-22 15:00:00,18.80,70,17.60,23,0.40,15.10,267
2025-06-22 16:00:00,19.00,69,17.90,25,0.20,14.40,273
2025-06-22 17:00:00,19.40,67,18.40,27,0.20,13.50,279
2025-06-22 18:00:00,19.40,67,18.60,29,0.20,11.80,282
2025-06-22 19:00:00,18.50,72,18.20,30,0.00,9.80,276
2025-06-22 20:00:00,17.30,80,17.40,30,0.00,7.30,259
2025-06-22 21:00:00,16.10,86,16.40,30,0.00,6.10,242
2025-06-22 22:00:00,15.00,89,15.40,28,0.00,4.30,246
2025-06-22 23:00:00,14.00,90,14.40,25,0.00,2.60,286
2025-06-23 00:00:00,13.20,91,13.30,21,0.00,3.10,324
2025-06-23 01:00:00,12.80,90,12.60,17,0.00,3.90,326
2025-06-23 02:00:00,12.60,89,12.10,13,0.00,4.60,321
2025-06-23 03:00:00,12.40,88,11.70,10,0.00,5.40,318
2025-06-23 04:00:00,12.00,89,11.20,8,0.00,5.60,320
2025-06-23 05:00:00,11.60,90,10.80,6,0.00,5.40,323
2025-06-23 06:00:00,11.70,89,10.90,5,0.00,5.80,330
2025-06-23 07:00:00,12.70,84,11.70,4,0.00,7.40,337
2025-06-23 08:00:00,14.20,76,12.70,3,0.00,9.80,343
2025-06-23 09:00:00,15.70,68,14.00,3,0.00,11.30,343
2025-06-23 10:00:00,17.10,61,15.30,3,0.00,11.70,342
2025-06-23 11:00:00,18.40,55,17.10,3,0.00,11.50,340
2025-06-23 12:00:00,19.60,50,18.60,4,0.00,10.80,339
2025-06-23 13:00:00,20.60,47,20.10,4,0.00,9.40,337
2025-06-23 14:00:00,21.30,45,21.30,5,0.00,7.60,335
2025-06-23 15:00:00,21.80,44,22.00,5,0.00,6.10,332
2025-06-23 16:00:00,22.30,41,22.00,8,0.00,4.60,309
2025-06-23 17:00:00,22.40,41,21.50,9,0.00,3.30,283
2025-06-23 18:00:00,22.00,43,21.30,9,0.00,3.10,249
2025-06-23 19:00:00,20.90,49,20.50,9,0.00,2.80,220
2025-06-23 20:00:00,19.40,58,19.30,9,0.00,2.90,180
2025-06-23 21:00:00,18.00,64,17.80,10,0.00,3.80,163
2025-06-23 22:00:00,17.00,67,16.60,10,0.00,4.30,156
2025-06-23 23:00:00,16.10,67,15.50,10,0.00,4.80,153
2025-06-24 00:00:00,15.40,68,14.60,11,0.00,5.30,152
2025-06-24 01:00:00,14.90,70,13.90,11,0.00,6.00,155
2025-06-24 02:00:00,14.50,71,13.30,12,0.00,7.10,156
2025-06-24 03:00:00,14.30,72,12.90,13,0.00,8.10,159
2025-06-24 04:00:00,14.10,72,12.60,14,0.00,9.20,159
2025-06-24 05:00:00,14.10,72,12.40,16,0.00,10.20,157
2025-06-24 06:00:00,14.70,70,12.90,17,0.00,11.20,159
