time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,precipitation,wind_speed_10m,wind_direction_10m
2025-06-02 00:00:00,14.60,68,13.90,0,0.00,2.40,297
2025-06-02 01:00:00,14.10,69,13.30,0,0.00,2.70,293
2025-06-02 02:00:00,13.30,71,12.40,0,0.00,3.10,291
2025-06-02 03:00:00,12.50,77,11.80,0,0.00,1.60,333
2025-06-02 04:00:00,12.10,79,11.50,0,0.00,1.60,27
2025-06-02 05:00:00,11.40,82,10.80,0,0.00,1.10,288
2025-06-02 06:00:00,11.90,84,11.60,0,0.00,0.70,360
2025-06-02 07:00:00,14.50,85,15.00,0,0.00,0.40,90
2025-06-02 08:00:00,17.10,73,17.40,0,0.00,3.00,166
2025-06-02 09:00:00,19.30,60,18.80,0,0.00,5.80,187
2025-06-02 10:00:00,20.70,54,20.40,0,0.00,7.40,223
2025-06-02 11:00:00,21.80,48,22.00,0,0.00,7.90,240
2025-06-02 12:00:00,22.80,45,23.40,0,0.00,7.60,251
2025-06-02 13:00:00,24.00,41,24.50,0,0.00,8.80,251
2025-06-02 14:00:00,24.80,39,25.00,0,0.00,9.20,244
2025-06-02 15:00:00,25.30,36,25.00,0,0.00,9.70,239
2025-06-02 16:00:00,25.40,34,24.20,0,0.00,10.50,239
2025-06-02 17:00:00,25.00,36,23.10,0,0.00,10.50,239
2025-06-02 18:00:00,24.60,37,23.00,0,0.00,8.40,239
2025-06-02 19:00:00,23.90,42,23.00,0,0.00,6.60,225
2025-06-02 20:00:00,22.10,52,22.00,0,0.00,4.00,207
2025-06-02 21:00:00,20.90,53,20.60,3,0.00,4.10,195
2025-06-02 22:00:00,20.10,55,19.70,3,0.00,4.70,189
2025-06-02 23:00:00,19.70,58,19.30,5,0.00,4.70,171
2025-06-03 00:00:00,18.90,63,18.60,5,0.00,5.90,194
2025-06-03 01:00:00,18.30,67,18.00,3,0.00,6.10,208
2025-06-03 02:00:00,18.20,70,18.20,3,0.00,5.40,233
2025-06-03 03:00:00,17.80,75,18.40,0,0.10,3.40,252
2025-06-03 04:00:00,17.10,78,17.80,0,0.00,2.60,236
2025-06-03 05:00:00,16.70,80,17.40,3,0.00,2.20,270
2025-06-03 06:00:00,17.50,82,18.60,0,0.00,2.30,309
2025-06-03 07:00:00,19.00,82,20.60,0,0.00,3.10,306
2025-06-03 08:00:00,20.70,79,22.90,0,0.00,1.90,292
2025-06-03 09:00:00,22.30,76,24.70,0,0.00,2.90,270
2025-06-03 10:00:00,23.80,66,25.60,0,0.00,4.30,265
2025-06-03 11:00:00,24.70,61,26.30,0,0.00,5.40,250
2025-06-03 12:00:00,25.80,56,27.70,0,0.00,6.70,234
2025-06-03 13:00:00,26.50,52,27.90,3,0.00,7.90,240
2025-06-03 14:00:00,26.90,49,27.40,13,0.00,8.90,243
2025-06-03 15:00:00,26.70,49,27.10,20,0.00,8.90,243
2025-06-03 16:00:00,26.40,49,26.80,30,0.00,8.10,249
2025-06-03 17:00:00,23.50,72,25.20,20,0.20,8.80,9
2025-06-03 18:00:00,23.20,72,25.30,25,0.00,4.80,63
2025-06-03 19:00:00,22.70,75,25.00,45,0.00,4.10,105
2025-06-03 20:00:00,22.00,79,24.40,48,0.00,4.10,105
2025-06-03 21:00:00,20.80,81,22.80,75,0.00,4.20,121
2025-06-03 22:00:00,19.80,86,22.10,88,0.20,2.40,333
2025-06-03 23:00:00,19.10,93,21.60,100,1.30,2.00,45
2025-06-04 00:00:00,18.80,94,20.70,93,2.20,5.80,248
2025-06-04 01:00:00,17.20,90,17.90,68,0.00,7.70,323
2025-06-04 02:00:00,15.90,93,15.70,43,0.00,12.10,343
2025-06-04 03:00:00,15.80,91,15.40,28,0.00,12.00,339
2025-06-04 04:00:00,15.10,89,14.60,10,0.00,10.50,344
2025-06-04 05:00:00,14.10,89,12.90,5,0.00,12.80,338
2025-06-04 06:00:00,13.60,86,12.20,3,0.00,12.70,335
2025-06-04 07:00:00,13.90,84,12.50,0,0.00,11.60,338
2025-06-04 08:00:00,15.00,80,14.00,0,0.00,9.70,333
2025-06-04 09:00:00,16.90,73,16.00,0,0.00,10.10,333
2025-06-04 10:00:00,18.70,66,18.30,0,0.00,10.80,339
2025-06-04 11:00:00,20.10,57,19.40,0,0.00,12.40,343
2025-06-04 12:00:00,21.10,49,20.50,0,0.00,12.40,343
2025-06-04 13:00:00,21.90,45,21.00,0,0.00,12.40,343
2025-06-04 14:00:00,22.90,40,22.00,0,0.00,11.50,340
2025-06-04 15:00:00,23.50,39,22.40,0,0.00,11.30,333
2025-06-04 16:00:00,23.40,39,21.80,0,0.00,10.90,333
2025-06-04 17:00:00,23.50,39,21.70,0,0.00,10.40,326
2025-06-04 18:00:00,23.10,40,21.30,0,0.00,9.70,329
2025-06-04 19:00:00,22.30,42,20.90,0,0.00,7.30,340
2025-06-04 20:00:00,20.60,51,20.10,0,0.00,4.10,345
2025-06-04 21:00:00,18.70,61,18.70,0,0.00,2.10,329
2025-06-04 22:00:00,17.60,62,17.50,0,0.00,1.30,304
2025-06-04 23:00:00,16.60,65,16.50,0,0.00,0.70,270
2025-06-05 00:00:00,15.70,67,15.50,0,0.00,0.50,225
2025-06-05 01:00:00,14.80,70,14.50,0,0.00,1.00,135
2025-06-05 02:00:00,14.10,73,13.70,0,0.00,1.60,153
2025-06-05 03:00:00,13.90,73,13.30,0,0.00,2.50,180
2025-06-05 04:00:00,13.80,72,13.00,0,0.00,3.00,194
2025-06-05 05:00:00,13.70,72,12.90,0,0.00,2.90,173
2025-06-05 06:00:00,14.80,71,14.20,0,0.00,3.00,166
2025-06-05 07:00:00,17.00,70,17.00,0,0.00,3.30,167
2025-06-05 08:00:00,19.10,63,18.70,0,0.00,6.50,174
2025-06-05 09:00:00,21.00,56,20.40,0,0.00,8.30,178
2025-06-05 10:00:00,22.80,50,22.60,0,0.00,9.20,191
2025-06-05 11:00:00,24.00,42,23.60,0,0.00,11.00,203
2025-06-05 12:00:00,24.90,39,24.40,0,0.00,11.90,205
2025-06-05 13:00:00,25.80,37,25.50,0,0.00,12.20,204
2025-06-05 14:00:00,26.50,35,26.10,0,0.00,13.00,204
2025-06-05 15:00:00,26.90,34,26.20,0,0.00,12.90,207
2025-06-05 16:00:00,27.10,32,25.90,0,0.00,12.20,204
2025-06-05 17:00:00,27.00,34,25.20,0,0.00,12.30,201
2025-06-05 18:00:00,26.60,35,24.80,0,0.00,11.60,196
2025-06-05 19:00:00,25.90,39,24.60,0,0.00,10.70,200
2025-06-05 20:00:00,24.30,46,23.70,0,0.00,8.10,193
2025-06-05 21:00:00,22.00,54,21.60,0,0.00,7.60,180
2025-06-05 22:00:00,21.00,58,20.50,4,0.00,8.30,178
2025-06-05 23:00:00,20.30,60,19.60,9,0.00,9.40,176
2025-06-06 00:00:00,19.60,63,18.90,16,0.00,10.10,178
2025-06-06 01:00:00,19.10,66,18.50,22,0.00,9.40,182
2025-06-06 02:00:00,18.60,70,18.30,26,0.00,8.10,193
2025-06-06 03:00:00,18.20,73,18.20,28,0.00,7.00,201
2025-06-06 04:00:00,17.80,76,18.00,26,0.00,6.20,201
2025-06-06 05:00:00,17.40,79,17.80,22,0.00,5.20,196
2025-06-06 06:00:00,17.70,80,18.40,15,0.00,4.90,197
2025-06-06 07:00:00,19.30,79,20.40,9,0.00,4.80,207
2025-06-06 08:00:00,21.50,76,23.20,5,0.00,5.60,220
2025-06-06 09:00:00,23.60,71,25.60,3,0.00,6.60,229
2025-06-06 10:00:00,25.50,64,27.40,5,0.00,8.20,241
2025-06-06 11:00:00,27.20,55,29.10,10,0.00,10.70,250
2025-06-06 12:00:00,28.30,49,30.00,17,0.00,12.40,253
2025-06-06 13:00:00,28.40,48,29.80,23,0.10,13.20,253
2025-06-06 14:00:00,27.90,51,29.00,29,0.10,13.40,250
2025-06-06 15:00:00,27.20,54,27.90,33,0.10,13.40,250
2025-06-06 16:00:00,26.50,57,27.10,35,0.10,13.50,254
2025-06-06 17:00:00,25.70,60,26.30,35,0.10,13.40,262
2025-06-06 18:00:00,24.70,64,25.50,35,0.10,12.60,268
